ENTE_SEGN,VOCESOTVOC,CLASSE_UTI,SETCON,DATA_OSSER,VALORE,STATUS,UNIT OF MEASUREMENT,SCALE
3691030,35120163,1004,26,30/9/2005,0.065,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/6/2005,0.323,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/3/2005,0.133,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/12/2004,0.628,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/9/2004,0.21,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/6/2004,0.277,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/3/2004,0.14,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/12/2003,0.354,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/9/2003,0.212,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/6/2003,0.148,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/3/2003,0.144,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/12/2002,0.297,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/9/2002,0.148,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/6/2002,0.231,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/3/2002,0.177,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/12/2001,0.272,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/9/2001,0.091,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/6/2001,0.278,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/3/2001,0.373,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/12/2000,0.393,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/9/2000,0.302,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/3/2000,0.3,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/12/1999,0.3,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/9/1999,0.607,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/6/1999,0.419,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/3/1999,0.212,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/12/1998,0.219,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/9/1998,0.108,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/6/1998,1.073,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/3/1998,0.546,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/12/1997,0.456,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/9/1997,0.114,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/6/1997,0.229,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/3/1997,0.456,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/12/1996,0.44,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/9/1996,0.337,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,30/6/1996,0.343,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,26,31/3/1996,0.76,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2013,0.318,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2013,0.325,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2012,0.354,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2012,0.359,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2012,0.304,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2012,0.293,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2011,0.354,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2011,0.301,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2011,0.297,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2011,0.281,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2010,0.313,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2010,0.32,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2010,0.342,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2010,0.316,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2009,0.338,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2009,0.273,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2009,0.296,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2009,0.217,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2008,0.248,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2008,0.177,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2008,0.214,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2008,0.207,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2007,0.253,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2007,0.2,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2007,0.238,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2007,0.214,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2006,0.26,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2006,0.226,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2006,0.225,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2006,0.232,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2005,0.25,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2005,0.193,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2005,0.221,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2005,0.197,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2004,0.241,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2004,0.215,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2004,0.232,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2004,0.232,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2003,0.255,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2003,0.206,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2003,0.234,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2003,0.217,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2002,0.33,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2002,0.238,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2002,0.283,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2002,0.256,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2001,0.334,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2001,0.242,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2001,0.291,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2001,0.32,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/2000,0.427,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/2000,0.256,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/2000,0.302,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/2000,0.326,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/1999,0.489,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/1999,0.322,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/1999,0.445,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/1999,0.371,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/1998,0.506,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/1998,0.38,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/1998,0.438,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
